Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4394,18.0,18,,,,,,
,,,,,4398,4.0,4,,,,,,
,,,,,4406,8.0,8,,,,,,
,,,,,4410,4.0,4,,,,,,
,,,,,4415,5.0,5,,,,,,
,,,,,4419,4.0,4,,,,,,
,,,,,4430,11.0,11,,,,,,
,,,,,4435,5.0,5,,,,,,
,,,,,4443,8.0,8,,,,,,
,,,,,4447,4.0,4,,,,,,
,,,,,4451,4.0,4,,,,,,
,,,,,4454,3.0,3,,,,,,
,,,,,4460,6.0,6,,,,,,
,,,,,4466,6.0,6,,,,,,
,,,,,4471,5.0,5,,,,,,
,,,,,4475,4.0,4,,,,,,
,,,,,4479,4.0,4,,,,,,
,,,,,4488,9.0,9,,,,,,
,,,,,4494,6.0,6,,,,,,
,,,,,4502,8.0,8,,,,,,
,,,,,4506,4.0,4,,,,,,
,,,,,4511,5.0,5,,,,,,
,,,,,4521,10.0,10,,,,,,
,,,,,4524,3.0,3,,,,,,
,,,,,4529,5.0,5,,,,,,
,,,,,4537,8.0,8,,,,,,
,,,,,4540,3.0,3,,,,,,
,,,,,4544,4.0,4,,,,,,
,,,,,4548,4.0,4,,,,,,
,,,,,4553,5.0,5,,,,,,
,,,,,4563,10.0,10,,,,,,
,,,,,4567,4.0,4,,,,,,
,,,,,4570,3.0,3,,,,,,
,,,,,4573,3.0,3,,,,,,
,,,,,4579,6.0,6,,,,,,
,,,,,4583,4.0,4,,,,,,
,,,,,4587,4.0,4,,,,,,
,,,,,4591,4.0,4,,,,,,
,,,,,4599,8.0,8,,,,,,
,,,,,4603,4.0,4,,,,,,
,,,,,4608,5.0,5,,,,,,
,,,,,4613,5.0,5,,,,,,
,,,,,4618,5.0,5,,,,,,
,,,,,4622,4.0,4,,,,,,
,,,,,4628,6.0,6,,,,,,
,,,,,4632,4.0,4,,,,,,
,,,,,4640,8.0,8,,,,,,
,,,,,4646,6.0,6,,,,,,
,,,,,4651,5.0,5,,,,,,
,,,,,4656,5.0,5,,,,,,
,,,,,4665,9.0,9,,,,,,
,,,,,4670,5.0,5,,,,,,
,,,,,4679,9.0,9,,,,,,
,,,,,4684,5.0,5,,,,,,
,,,,,4688,4.0,4,,,,,,
,,,,,4693,5.0,5,,,,,,
,,,,,4696,3.0,3,,,,,,
,,,,,4700,4.0,4,,,,,,
,,,,,4704,4.0,4,,,,,,
,,,,,4712,8.0,8,,,,,,
,,,,,4717,5.0,5,,,,,,
