Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,7545,22.0,22,,,,,,
,,,,,7554,9.0,9,,,,,,
,,,,,7583,29.0,29,,,,,,
,,,,,7597,14.0,14,,,,,,
,,,,,7612,15.0,15,,,,,,
,,,,,7628,16.0,16,,,,,,
,,,,,7645,17.0,17,,,,,,
,,,,,7659,14.0,14,,,,,,
,,,,,7685,26.0,26,,,,,,
,,,,,7714,29.0,29,,,,,,
,,,,,7732,18.0,18,,,,,,
,,,,,7742,10.0,10,,,,,,
,,,,,7755,13.0,13,,,,,,
,,,,,7769,14.0,14,,,,,,
,,,,,7801,32.0,32,,,,,,
,,,,,7814,13.0,13,,,,,,
,,,,,7824,10.0,10,,,,,,
,,,,,7865,41.0,41,,,,,,
,,,,,7877,12.0,12,,,,,,
,,,,,7905,28.0,28,,,,,,
,,,,,7928,23.0,23,,,,,,
,,,,,7942,14.0,14,,,,,,
,,,,,7961,19.0,19,,,,,,
,,,,,7977,16.0,16,,,,,,
,,,,,7997,20.0,20,,,,,,
,,,,,8000,,,0.011253447271883488,6.498753070831299,6.508222579956055,0.29937928915023804,0.76,0.0005
,,,,,8044,47.0,47,,,,,,
,,,,,8095,51.0,51,,,,,,
,,,,,8109,14.0,14,,,,,,
,,,,,8150,41.0,41,,,,,,
,,,,,8173,23.0,23,,,,,,
,,,,,8195,22.0,22,,,,,,
,,,,,8224,29.0,29,,,,,,
,,,,,8239,15.0,15,,,,,,
,,,,,8261,22.0,22,,,,,,
,,,,,8276,15.0,15,,,,,,
,,,,,8301,25.0,25,,,,,,
,,,,,8334,33.0,33,,,,,,
,,,,,8352,18.0,18,,,,,,
,,,,,8366,14.0,14,,,,,,
,,,,,8390,24.0,24,,,,,,
,,,,,8402,12.0,12,,,,,,
,,,,,8416,14.0,14,,,,,,
,,,,,8428,12.0,12,,,,,,
,,,,,8474,46.0,46,,,,,,
,,,,,8497,23.0,23,,,,,,
,,,,,8535,38.0,38,,,,,,
,,,,,8544,9.0,9,,,,,,
,,,,,8558,14.0,14,,,,,,
,,,,,8573,15.0,15,,,,,,
,,,,,8621,48.0,48,,,,,,
,,,,,8630,9.0,9,,,,,,
,,,,,8651,21.0,21,,,,,,
,,,,,8666,15.0,15,,,,,,
,,,,,8689,23.0,23,,,,,,
,,,,,8725,36.0,36,,,,,,
,,,,,8739,14.0,14,,,,,,
,,,,,8767,28.0,28,,,,,,
,,,,,8805,38.0,38,,,,,,
,,,,,8831,26.0,26,,,,,,
,,,,,8842,11.0,11,,,,,,
,,,,,8878,36.0,36,,,,,,
,,,,,8889,11.0,11,,,,,,
,,,,,8906,17.0,17,,,,,,
,,,,,8918,12.0,12,,,,,,
,,,,,8931,13.0,13,,,,,,
,,,,,8950,19.0,19,,,,,,
,,,,,8971,21.0,21,,,,,,
,,,,,8985,14.0,14,,,,,,
,,,,,9000,,,0.025044361129403114,7.266683578491211,7.2951130867004395,0.41270574927330017,0.73,0.0005
,,,,,9003,18.0,18,,,,,,
,,,,,9043,40.0,40,,,,,,
,,,,,9059,16.0,16,,,,,,
,,,,,9083,24.0,24,,,,,,
,,,,,9111,28.0,28,,,,,,
,,,,,9130,19.0,19,,,,,,
,,,,,9156,26.0,26,,,,,,
,,,,,9170,14.0,14,,,,,,
,,,,,9183,13.0,13,,,,,,
,,,,,9200,17.0,17,,,,,,
,,,,,9218,18.0,18,,,,,,
,,,,,9248,30.0,30,,,,,,
,,,,,9289,41.0,41,,,,,,
,,,,,9311,22.0,22,,,,,,
,,,,,9323,12.0,12,,,,,,
,,,,,9349,26.0,26,,,,,,
,,,,,9368,19.0,19,,,,,,
,,,,,9382,14.0,14,,,,,,
,,,,,9398,16.0,16,,,,,,
,,,,,9418,20.0,20,,,,,,
,,,,,9433,15.0,15,,,,,,
,,,,,9464,31.0,31,,,,,,
,,,,,9483,19.0,19,,,,,,
,,,,,9493,10.0,10,,,,,,
,,,,,9517,24.0,24,,,,,,
,,,,,9541,24.0,24,,,,,,
,,,,,9585,44.0,44,,,,,,
,,,,,9600,15.0,15,,,,,,
,,,,,9657,57.0,57,,,,,,
,,,,,9673,16.0,16,,,,,,
,,,,,9688,15.0,15,,,,,,
,,,,,9709,21.0,21,,,,,,
,,,,,9733,24.0,24,,,,,,
,,,,,9744,11.0,11,,,,,,
,,,,,9756,12.0,12,,,,,,
,,,,,9769,13.0,13,,,,,,
,,,,,9797,28.0,28,,,,,,
,,,,,9808,11.0,11,,,,,,
,,,,,9834,26.0,26,,,,,,
,,,,,9846,12.0,12,,,,,,
,,,,,9862,16.0,16,,,,,,
,,,,,9880,18.0,18,,,,,,
,,,,,9893,13.0,13,,,,,,
,,,,,9904,11.0,11,,,,,,
,,,,,9941,37.0,37,,,,,,
,,,,,9959,18.0,18,,,,,,
,,,,,9972,13.0,13,,,,,,
,,,,,9983,11.0,11,,,,,,
150.9,33.24891,205.0,102.0,150.9,10000,,,0.02996264398097992,8.001426696777344,8.03066635131836,0.6304188370704651,0.7,0.0005
,,,,,10012,29.0,29,,,,,,
,,,,,10029,17.0,17,,,,,,
,,,,,10068,39.0,39,,,,,,
,,,,,10077,9.0,9,,,,,,
,,,,,10091,14.0,14,,,,,,
,,,,,10104,13.0,13,,,,,,
,,,,,10123,19.0,19,,,,,,
,,,,,10138,15.0,15,,,,,,
,,,,,10163,25.0,25,,,,,,
,,,,,10182,19.0,19,,,,,,
,,,,,10221,39.0,39,,,,,,
,,,,,10230,9.0,9,,,,,,
,,,,,10276,46.0,46,,,,,,
,,,,,10288,12.0,12,,,,,,
,,,,,10322,34.0,34,,,,,,
,,,,,10334,12.0,12,,,,,,
,,,,,10348,14.0,14,,,,,,
,,,,,10368,20.0,20,,,,,,
,,,,,10409,41.0,41,,,,,,
,,,,,10430,21.0,21,,,,,,
,,,,,10445,15.0,15,,,,,,
,,,,,10468,23.0,23,,,,,,
,,,,,10477,9.0,9,,,,,,
,,,,,10504,27.0,27,,,,,,
,,,,,10533,29.0,29,,,,,,
,,,,,10554,21.0,21,,,,,,
,,,,,10571,17.0,17,,,,,,
,,,,,10603,32.0,32,,,,,,
,,,,,10614,11.0,11,,,,,,
,,,,,10658,44.0,44,,,,,,
,,,,,10675,17.0,17,,,,,,
,,,,,10691,16.0,16,,,,,,
,,,,,10705,14.0,14,,,,,,
,,,,,10790,85.0,85,,,,,,
,,,,,10807,17.0,17,,,,,,
,,,,,10820,13.0,13,,,,,,
,,,,,10832,12.0,12,,,,,,
,,,,,10918,86.0,86,,,,,,
,,,,,10934,16.0,16,,,,,,
,,,,,10955,21.0,21,,,,,,
,,,,,10975,20.0,20,,,,,,
,,,,,10986,11.0,11,,,,,,
