Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,79999,3576.5835,1000,,,,,,,,,,
3545.2183,30.696503,3591.4626,3487.9482,1000.0,80000,,,-256.895751953125,-6.064253807067871,0.8512660264968872,255.538818359375,255.25318908691406,0.04423495754599571,0.5578156113624573,0.0003,0.0003,0.04423563554883003
,,,,,80999,3558.5698,1000,,,,,,,,,,
,,,,,81000,,,-257.089111328125,-5.833107948303223,0.9420984387397766,256.02813720703125,256.13641357421875,0.04520652815699577,0.26315760612487793,0.0003,0.0003,0.04520796239376068
,,,,,81999,3550.5808,1000,,,,,,,,,,
,,,,,82000,,,-262.8921813964844,-6.0356645584106445,0.9008382558822632,261.69586181640625,261.6409912109375,0.0462787039577961,-0.11297363042831421,0.0003,0.0003,0.046278394758701324
,,,,,82999,1994.3519,1000,,,,,,,,,,
,,,,,83000,,,-266.8694763183594,-5.717833995819092,1.4424740076065063,265.7935791015625,265.62457275390625,0.04726741090416908,0.3400341272354126,0.0003,0.0003,0.04726431146264076
,,,,,83999,3619.7864,1000,,,,,,,,,,
,,,,,84000,,,-263.117919921875,-5.52065896987915,1.457457184791565,262.03692626953125,262.01214599609375,0.04416021704673767,-0.924264132976532,0.0003,0.0003,0.04415661469101906
,,,,,84999,3592.6118,1000,,,,,,,,,,
3606.0437,36.17679,3662.552,3532.2336,1000.0,85000,,,-264.72369384765625,-5.221173286437988,0.8006181716918945,263.8014831542969,263.82586669921875,0.04052753746509552,-2.360177993774414,0.0003,0.0003,0.04052417352795601
,,,,,85999,3667.6187,1000,,,,,,,,,,
,,,,,86000,,,-269.78741455078125,-5.5117902755737305,0.716652512550354,268.85443115234375,268.9453125,0.038455020636320114,-1.3581286668777466,0.0003,0.0003,0.038452282547950745
,,,,,86999,3651.8123,1000,,,,,,,,,,
,,,,,87000,,,-270.9655456542969,-6.415572643280029,0.7011423707008362,269.8840026855469,270.0168762207031,0.037283483892679214,0.9003111124038696,0.0003,0.0003,0.03728384152054787
,,,,,87999,3596.4995,1000,,,,,,,,,,
,,,,,88000,,,-274.8038330078125,-5.943180084228516,0.714138388633728,273.8014221191406,273.81903076171875,0.03703205659985542,0.317538321018219,0.0003,0.0003,0.03703263774514198
,,,,,88999,3715.2717,1000,,,,,,,,,,
